N		y_1(N)						y_2(N)

5		-1.15973264365549e+00		-1.50514997831990e+00

15		-2.87112821559080e+00		-4.51544993495971e+00

25		-4.36940368406134e+00		-7.52574989159953e+00

35		-5.80846699633489e+00		-1.05360498482393e+01

45		-7.21880158789597e+00		-1.35463498048792e+01

55		-8.61307518833595e+00		-1.65566497615189e+01

65		-9.99593428391870e+00		-1.95669497181588e+01

75		-1.13716551592200e+01		-2.25772496747986e+01

85		-1.27434640746188e+01		-2.55875496314384e+01

95		-1.41077497006524e+01		-2.85978495880782e+01

105		-1.54733371542715e+01		-3.16081495447180e+01

115		-1.68291653456293e+01		-3.46184495013578e+01

125		-1.81874174655580e+01		-3.76287494579976e+01

135		-1.95478011957311e+01		-4.06390494146375e+01

145		-2.09003286668266e+01		-4.36493493712770e+01

155		-2.22483231416729e+01		-4.66596493279170e+01

165		-2.35975936136885e+01		-4.96699492845566e+01

175		-2.49480184303459e+01		-5.26802492411962e+01

185		-2.62994956669112e+01		-5.56905491978365e+01

195		-2.76519390798249e+01		-5.87008491544760e+01

205		-2.90052750590974e+01		-6.17111491111156e+01

215		-3.03594402968236e+01		-6.47214490677553e+01

225		-3.17068749775243e+01		-6.77317490243958e+01

235		-3.30457661395146e+01		-7.07420489810356e+01

245		-3.43851642334110e+01		-7.37523489376752e+01

255		-3.57250342369916e+01		-7.67626488943143e+01

265		-3.70653450536195e+01		-7.97729488509550e+01

275		-3.84060689414913e+01		-8.27832488075948e+01

285		-3.97471810437234e+01		-8.57935487642346e+01

295		-4.10886589985608e+01		-8.88038487208737e+01

305		-4.24304826138058e+01		-9.18141486775143e+01

315		-4.37726335931331e+01		-9.48244486341534e+01

325		-4.51150953046420e+01		-9.78347485907939e+01

335		-4.64578525840329e+01		-1.00845048547433e+02

345		-4.78008915663494e+01		-1.03855348504071e+02

355		-4.91441995414371e+01		-1.06865648460713e+02

365		-5.04877648292011e+01		-1.09875948417351e+02

375		-5.18315766714848e+01		-1.12886248373993e+02

385		-5.31756251379725e+01		-1.15896548330631e+02

395		-5.45199010439792e+01		-1.18906848287273e+02

405		-5.58643958783664e+01		-1.21917148243910e+02

415		-5.72091017401173e+01		-1.24927448200549e+02

425		-5.85540112823482e+01		-1.27937748157192e+02

435		-5.98991176627328e+01		-1.30948048113830e+02

445		-6.12444144994744e+01		-1.33958348070472e+02

455		-6.25898958320954e+01		-1.36968648027109e+02

465		-6.39355560864260e+01		-1.39978947983751e+02

475		-6.52813900432613e+01		-1.42989247940391e+02

485		-6.66273928102362e+01		-1.45999547897030e+02

495		-6.79735597965293e+01		-1.49009847853667e+02
